PartNum,Conversion Code
0300-224,ALBI24
0300-230,ALBI30
0300-236,ALBI36
0300-248,ALBI48
0301-124,PYRT24
0316-101,ALNU1
0318-105,ALNU5
0318-115,ALNU15
0318-124,ALNU24
0318-125,ALNU24
0318-130,ALNU30
0318-136,ALNU36
0318-148,ALNU48
0318-160,ALNU60
0318-215,ALNU15
0318-224,ALNU24
0318-236,ALNU36
0318-248,ALNU48
0318-315,ALNU15
0319-001,ALOE1
0319-005,ALOE5
0319-015,ALOE15
0319-101,ALOE1
0319-105,ALOE5
0319-115,ALOE15
0319-124,ALOE24
0319-136,ALOE1
0319-148,ALOE1
0319-201,ALOE1
0319-202,ALOE1
0319-203,ALOY1
0319-205,ALOE5
0319-215,ALOE15
0319-224,ALOE24
0319-301,ALOE1
0319-305,ALOE5
0319-315,ALOE15
0319-324,ALOE24
0319-401,ALOE1
0319-405,ALOE5
0319-415,ALOE15
0319-424,ALOE24
0319-501,ALOE1
0319-505,ALOE5
0319-506,ALOE5
0319-507,ALOE5
0319-508,ALOE1
0319-515,ALOE15
0319-524,ALOE24
0319-555,ALOE5
0319-601,ALOE1
0319-605,ALOE5
0319-612,GC
0319-615,ALOE15
0319-624,ALOE24
0319-661,ALOE1
0319-701,ALOE1
0319-703,ALOE5
0319-704,LINER
0319-705,ALOE5
0319-715,ALOE15
0319-724,ALOE24
0319-801,ALOE1
0319-805,ALOE5
0319-815,ALOE15
0319-824,ALOE24
0319-901,ALOE1
0319-905,ALOE5
0319-915,ALOE15
0320-130,ALOE36
0320-136,ALOE36
0320-148,ALOE48
0320-172,ALOE72
0320-236,ALOE36
0320-605,ALPI5
0320-715,ALPI15
0322-005,DASY5
0322-115,DASY15
0322-215,DASY15
0322-315,DASY15
0325-224,LAGE24
0326-024,LAGE24
0326-105,LAGE5
0326-115,LAGE15
0326-124,LAGE24
0326-215,LAGE15
0326-224,LAGE24
0326-315,LAGE15
0326-324,LAGE24
0326-415,LAGE15
0326-424,LAGE24
0326-515,LAGE15
0326-524,LAGE24
0326-615,LAGE15
0326-624,LAGE24
0326-724,LAGE24
0326-824,LAGE24
0326-836,LAGE36
0326-924,LAGE24
0328-124,CORD36
0328-224,LAGE24
0329-724,LAGE24
0329-824,LAGE24
0329-924,LAGE24
0340-101,ALST5
0340-105,ALST5
0340-205,ALST5
0340-415,ALYO15
0340-501,ALYO1
0340-505,ALYO5
0340-515,ALYO15
0340-524,ALYO24
0340-605,ALYO5
0340-615,ALYO15
0341-005,AZAL5
0341-105,AZAL5
0341-205,AZAL5
0341-505,ALYO5
0341-615,AZAL5
0342-105,CEAS5
0350-505,CYAT
0350-515,SPHA15
0350-515,CYAT15
0350-515,CYAT
0350-515,ALSO15
0350-624,CYAT
0351-505,ALSO15
0351-505,CYAT
0351-505,SPHA15
0351-505,CYAT15
0370-101,ARBU1
0370-105,ARBU5
0370-115,ARBU15
0370-124,ARBU24
0370-136,ARBU36
0370-160,ARBU60
0370-215,ARBU15
0370-224,ARBU24
0370-236,ARBU36
0370-248,ARBU48
0370-260,ARBU60
0370-315,ARBU15
0370-324,ARBU24
0370-336,ARBU36
0370-348,ARBU48
0370-360,ARBU60
0370-415,ARBU15
0370-424,ARBU24
0370-436,ARBU36
0370-448,ARBU48
0370-501,ARBU1
0370-505,ARBU5
0370-515,ARBU15
0370-524,ARBU24
0370-536,ARBU36
0370-615,ARBU15
0370-624,ARBU24
0370-636,ARBU36
0370-705,ARBU5
0370-715,ARBU15
0370-724,ARBU24
0370-736,ARBU36
0370-805,ARBU5
0370-815,ARBU15
0370-824,ARBU24
0370-915,ARBU15
0370-924,ARBU24
0371-336,ARBU1
0371-501,ARBU1
0371-705,DIPL1
0378-148,ARBU48
0380-105,SEAF5
0380-105,ARCH5
0380-105,KING
0380-115,KING
0380-115,ARCH15
0380-124,ARCH24
0380-124,SEAF24
0380-124,KING
0380-136,ARCH36
0380-136,KING
0380-136,SEAF36
0380-148,SEAF48
0380-148,ARCH48
0380-148,KING
0380-205,ARCH5
0380-205,SEAF5
0380-205,KING
0380-215,ARCH15
0380-215,KING
0380-224,SEAF24
0380-224,ARCH24
0380-224,KING
0380-230,KING
0380-236,KING
0380-236,SEAF36
0380-236,ARCH36
0380-248,KING
0380-248,ARCH48
0380-248,SEAF48
0380-314,ARCH
0380-314,KING
0380-336,ARCH36
0384-001,ARCT1
0384-101,ARCT1
0384-201,ARCT1
0384-301,ARCT1
0384-405,ARCT5
0384-501,ARCH1
0384-505,ARCT5
0384-605,ARCT5
0385-501,ARCT1
0385-505,ARCT5
0386-101,ARCT1
0386-315,ARCT15
0386-415,ARCT15
0386-501,ARCT1
0386-505,ARCT5
0386-515,ARCT15
0386-605,ARCT5
0386-615,ARCT15
0386-705,ARCT5
0387-000,LINER
0387-501,ARCT1
0387-502,ARCT1
0387-505,ARCT5
0387-555,ARCT5
0387-565,ARCT5
0388-501,ARCT1
0388-505,ARCT5
0389-105,AGAV5
0389-205,AGAV5
0389-305,AGAV5
0389-405,AGAV5
0389-501,ARCT1
0390-105,COCOS
0390-105,COCO5
0390-105,QUEEN
0390-105,AREC5
0390-115,AREC15
0390-115,QUEEN
0390-115,COCOS
0390-118,COCOS
0390-124,COCOS
0390-124,AREC24
0390-124,COCO24
0390-124,QUEEN
0390-130,COCOS
0390-130,QUEEN
0390-136,COCOS
0390-136,AREC36
0390-136,QUEEN
0390-136,COCO36
0390-142,AREC48
0390-142,COCOS
0390-142,QUEEN
0390-146,COCOS
0390-146,QUEEN
0390-146,COCO60
0390-148,COCO48
0390-148,COCOS
0390-148,QUEEN
0390-148,AREC48
0390-160,QUEEN
0390-160,COCOS
0390-160,COCO60
0390-205,QUEEN
0390-205,AREC5
0390-205,COCOS
0390-205,COCO5
0390-215,COCOS
0390-215,QUEEN
0390-215,AREC15
0390-224,COCOS
0390-224,COCO24
0390-224,QUEEN
0390-224,AREC24
0390-236,AREC36
0390-236,COCO36
0390-236,QUEEN
0390-236,COCOS
0390-248,COCO48
0390-248,QUEEN
0390-248,AREC48
0390-248,COCOS
0390-300,QUEEN
0390-300,AREC36
0390-300,COCOS
0390-300,COCO36
0390-305,AREC36
0390-305,QUEEN
0390-305,COCOS
0390-310,COCOS
0390-310,QUEEN
0390-310,AREC48
0390-320,QUEEN
0390-320,AREC36
0390-320,COCOS
0390-325,COCOS
0390-325,AREC48
0390-325,QUEEN
0390-330,AREC48
0390-330,COCOS
0390-330,QUEEN
0390-331,QUEEN
0390-331,COCOS
0390-331,AREC48
0390-332,COCOS
0390-332,AREC48
0390-332,QUEEN
0390-333,COCOS
0390-333,QUEEN
0390-334,AREC48
0390-334,COCOS
0390-334,QUEEN
0390-335,AREC48
0390-335,QUEEN
0390-335,COCOS
0390-336,AREC36
0390-336,COCO36
0390-336,QUEEN
0390-501,ARCT1
0391-001,AGAV1
0391-005,AGAV5
0391-024,ALOE24
0391-025,AGAV5
0391-101,AGAV1
0391-105,AGAV5
0391-115,AGAV15
0391-201,AGAV1
0391-205,AGAV5
0391-215,AGAV15
0391-224,ALOE24
0391-225,ALOE24
0391-301,AGAV1
0391-305,AGAV5
0391-315,AGAV15
0391-320,ALOE24
0391-401,AGAV1
0391-405,AGAV5
0391-415,AGAV15
0391-420,ALOE24
0391-424,AGAV24
0391-501,AGAV1
0391-505,AGAV5
0391-515,AGAV15
0391-524,AGAV24
0391-601,AGAV1
0391-605,AGAV5
0391-607,AGAV5
0391-615,AGAV15
0391-624,AGAV24
0391-701,AGAV1
0391-705,AGAV5
0391-715,AGAV15
0391-724,AGAV24
0391-801,AGAV1
0391-805,AGAV5
0391-815,AGAV15
0391-824,AGAV24
0391-901,AGAV1
0391-905,AGAV5
0391-915,AGAV15
0391-924,ALOE24
0392-001,AGAV1
0392-005,AGAV5
