factor_code,part_number,quantity
factor_code,part_number,quantity
132,9300-180,0.09
132,9301-100,1.0
133,9300-180,0.06
133,9301-100,1.0
223.1,10-5440,1.0
223.1,30-2440,1.0
223.1,25-1515,1.0
223.1,33-4500,1.0
223.1,33-4510,2.0
627.1,9300-282,0.07
223.2,10-5440,1.0
223.2,30-2440,1.0
223.2,33-2380,2.0
223.2,25-1515,1.0
223.2,33-2581,1.0
1005.1,45,0.2
1005.1,33-4520,0.1
223.3,10-5440,1.0
223.3,30-2440,1.0
223.3,33-2380,2.0
223.3,25-1515,1.0
223.3,33-2580,1.0
524.1,9302-240,1.0
1004.1,0044-1,0.2
1004.1,33-4520,0.1
527.5,9302-240,7.0
527.5,9300-100,0.12
527.5,33-1720,0.38
527.5,33-1160,0.38
187,9301-160,0.07
700,15-1080,1.0
420.1,9301-244,1.0
420.1,33-2380,2.0
420.1,9301-250,1.0
543,9302-240,11.0
543,33-1160,0.19
543,9302-270,10.0
543,33-1340,10.0
543,33-1360,1.0
241,10-5500,1.0
241,30-2440,1.0
241,33-4510,2.0
241,33-2040,1.0
241,33-1140,1.0
140,9300-200,0.1
140,9301-120,0.4
140,9301-140,0.6
420.2,15-1740,1.0
420.2,15-1750,1.0
420.2,15-1580,1.0
420.2,15-1590,2.0
420.2,40-2145,1.0
420.2,9301-210,0.12
420.2,9301-244,1.0
420.2,33-2380,2.0
1000.1,9300-481,0.05
1000.1,33-4520,0.12
544,9302-240,7.0
544,33-1160,0.03
544,33-1340,3.0
544,33-1360,1.0
242,10-5500,1.0
242,30-2440,1.0
242,33-2380,2.0
242,33-2040,1.0
242,9301-244,1.0
141,9300-200,0.09
141,9301-120,0.75
141,9301-140,0.25
420.3,15-1740,1.0
420.3,15-1750,1.0
420.3,15-1580,1.0
420.3,15-1590,2.0
420.3,40-5218,1.0
420.3,9301-210,0.12
420.3,9301-244,1.0
420.3,33-2380,2.0
1000.2,9300-665,0.05
1000.2,33-4520,0.12
142,9300-200,0.09
142,9301-100,1.0
143,9300-200,0.06
143,9301-100,1.0
650,44-5826,1.0
515.1,9302-240,4.0
515.1,9300-100,0.01
515.1,33-1720,0.0044
515.1,33-1160,0.004
515.1,9302-250,2.0
515.1,9302-255,2.0
651,40-4019,1.0
514.1,9302-240,4.0
514.1,9300-100,0.01
514.1,33-1720,0.0044
514.1,33-1160,0.0044
514.1,33-1180,1.0
514.1,9302-260,3.0
510.2,9300-100,0.05
700,20-2120,2.0
510.2,33-1720,0.01
510.2,33-1160,0.01
555,33-1280,0.2
151,9300-220,0.1
151,9301-120,0.75
151,9301-140,0.25
410.3,15-2130,1.0
410.3,15-2140,2.0
410.3,15-2150,1.0
410.3,15-2160,1.0
410.3,9301-244,1.0
410.3,33-2380,2.0
410.3,9301-250,1.0
509.1,9302-240,7.0
509.1,9300-100,0.12
509.1,33-1720,0.03
509.1,33-1160,0.03
509.1,9302-250,2.0
509.1,9302-245,2.0
509.1,33-1340,10.0
509.1,40-1462,1.0
206.1,9300-420,0.05
206.1,33-4520,0.1
510.3,9302-240,6.0
510.3,9300-100,0.05
510.3,33-1720,0.01
510.3,33-1160,0.01
510.3,33-1180,1.0
510.3,9302-245,3.0
556,33-1280,1.0
152,9301-100,1.0
152,9300-220,0.08
509.2,9302-240,7.0
509.2,9300-100,0.12
509.2,33-1720,0.03
509.2,33-1160,0.03
509.2,33-1180,2.0
509.2,9302-255,2.0
509.2,33-1340,10.0
509.2,40-1462,1.0
508.1,9302-240,7.0
508.1,9300-100,0.15
508.1,33-1720,0.03
508.1,33-1160,0.03
508.1,33-1180,2.0
508.1,9302-260,1.0
508.1,33-1340,10.0
508.1,40-1462,1.0
205.1,9300-400,0.05
205.1,33-4520,0.1
510.4,9302-240,6.0
510.4,9300-100,0.05
510.4,33-1720,0.01
