factor_code,part_number,quantity
259.1,15-2022,4.0
259.1,15-2023,2.0
261.1,15-2040,2.0
262,15-2040,2.0
300,15-2040,2.0
637.5,15-2040,3.0
260,15-2060,4.0
261,15-2060,4.0
261.1,15-2080,1.0
262,15-2080,1.0
300,15-2080,1.0
260,15-2100,1.0
261,15-2100,1.0
260,15-2120,1.0
261,15-2120,1.0
261.1,15-2120,1.0
262,15-2120,1.0
300,15-2120,1.0
259,15-2125,1.0
259,15-2126,1.0
259,15-2127,3.0
292,15-2130,2.0
410,15-2130,1.0
410.3,15-2130,1.0
410.4,15-2130,1.0
411,15-2130,1.0
412,15-2130,1.0
410,15-2140,2.0
410.3,15-2140,2.0
411,15-2140,2.0
412,15-2140,2.0
292,15-2150,1.0
410,15-2150,1.0
410.3,15-2150,1.0
411,15-2150,1.0
412,15-2150,1.0
410,15-2160,1.0
410.3,15-2160,1.0
411,15-2160,1.0
412,15-2160,1.0
292,15-2166,1.0
292,15-2167,1.0
410.4,15-2167,1.0
637.5,1-900,1.0
395.1,200-180,2.0
396.1,200-180BS,2.0
390,20-1020,2.0
391,20-1020,2.0
390.1,20-1040,2.0
395,20-1040,2.0
398,20-1060,2.0
380,20-1080,2.0
380.1,20-1080,2.0
380.2,20-1080,2.0
380.4,20-1080,2.0
380.6,20-1080,2.0
380.7,20-1080,2.0
399,20-1080,2.0
400.1,20-1080,2.0
400.2,20-1080,2.0
402,20-1080,2.0
402.1,20-1080,2.0
402.2,20-1080,2.0
381.2,20-1100,2.0
395.1,20-1100,2.0
400.4,20-1100,2.0
400.3,20-1120,2.0
637.5,20-1650,2.0
402.5,20-2000,1.0
639.9,20-2080,1.0
402.5,20-2100,1.0
341,20-2110,1.0
373,20-2110,1.0
402.5,20-2110,1.0
341,20-2120,1.0
373,20-2120,1.0
373.1,20-2120,1.0
700,20-2120,2.0
212,20-2121,3.0
341,20-2140,2.0
373,20-2140,2.0
373.1,20-2140,2.0
700,20-2140,2.0
410.1,20-2320,1.0
410.2,20-2320,1.0
410.1,20-2340,3.0
410.2,20-2340,2.0
372,20-2341,3.0
374,20-2561,3.0
469,21-2390,1.0
210.2,22-1087,1.0
210.3,22-1087,1.0
210.4,22-1087,1.0
213,22-1087,1.0
637.5,22-1199,2.0
243,22-1290,1.0
370.2,22-1530,1.0
370.3,22-1530,1.0
370.4,22-1530,1.0
370.6,22-1530,1.0
370.9,22-1530,1.0
482,2300-310,1.0
637.5,25-1431,1.0
223,25-1515,1.0
223.1,25-1515,1.0
223.2,25-1515,1.0
223.3,25-1515,1.0
223.5,25-1515,1.0
210.5,25-1521,1.0
210.6,25-1522,1.0
220.4,25-1522,1.0
370.11,25-1523,1.0
402.4,26-1066,1.0
373,26-1300,1.0
373.1,26-1300,1.0
637.5,27-1053,1.0
630.3,29-0046,1.0
647,30-2042,1.0
210.4,30-2440,1.0
223,30-2440,1.0
223.1,30-2440,1.0
223.2,30-2440,1.0
223.3,30-2440,1.0
223.5,30-2440,1.0
223.6,30-2440,1.0
223.7,30-2440,1.0
241,30-2440,1.0
241.1,30-2440,1.0
242,30-2440,1.0
340,30-2440,1.0
340.3,30-2440,1.0
340.5,30-2440,1.0
360.2,30-2440,1.0
360.3,30-2440,1.0
360.4,30-2440,1.0
350,30-2520,1.0
350.2,30-2520,1.0
350.3,30-2520,1.0
350.5,30-2520,1.0
370.2,30-2520,1.0
370.21,30-2520,1.0
370.3,30-2520,1.0
370.4,30-2520,1.0
370.6,30-2520,1.0
370.9,30-2520,1.0
371.1,30-2520,1.0
371.3,30-2520,1.0
350,30-2600,1.0
350.1,30-2600,1.0
350.2,30-2600,1.0
350.3,30-2600,1.0
350.5,30-2600,1.0
350.6,30-2600,1.0
370.7,30-2600,1.0
371.1,30-2600,1.0
371.3,30-2600,1.0
371.5,30-2600,1.0
371.6,30-2600,1.0
636.6,30-2716,1.0
636.5,30-2726,60.0
636.6,30-2726,200.0
636.7,30-2726,50.0
637.6,30-2726,80.0
637.9,30-2726,30.0
639.5,30-2726,0.2
640.1,30-2726,20.0
380.7,32-1000,1.0
380.4,32-1001,1.0
381.2,32-1001,1.0
400.4,32-1002,1.0
402.6,32-1002,1.0
420.6,32-1002,1.0
380.6,32-1003,1.0
701,32-1004,1.0
380.5,32-1007,1.0
481,32-1007,1.0
482,32-1007,1.0
490,32-1007,1.0
432,32-1010,1.0
380.5,32-1011,4.0
432,32-1011,3.0
637.5,32-1011,2.0
402.8,32-1020,1.0
637.4,32-1020,1.0
210,32-1056,1.0
210.1,32-1056,1.0
210.2,32-1056,1.0
210.3,32-1056,1.0
210.4,32-1056,1.0
210.5,32-1056,1.0
210.6,32-1056,1.0
212,32-1056,1.0
213,32-1056,1.0
214,32-1056,1.0
220,32-1056,1.0
220.1,32-1056,1.0
220.2,32-1056,0.0
220.3,32-1056,1.0
220.4,32-1056,1.0
223,32-1056,1.0
223.1,32-1056,1.0
223.2,32-1056,1.0
223.3,32-1056,1.0
223.5,32-1056,1.0
223.6,32-1056,1.0
223.7,32-1056,1.0
225,32-1056,1.0
230,32-1056,1.0
240,32-1056,1.0
240.1,32-1056,1.0
241,32-1056,1.0
241.1,32-1056,1.0
242,32-1056,1.0
250.1,32-1056,1.0
251,32-1056,1.0
360,32-1056,1.0
370,32-1056,1.0
370.1,32-1056,1.0
370.7,32-1056,1.0
370.8,32-1056,1.0
370.91,32-1056,1.0
371,32-1056,1.0
372,32-1056,1.0
374,32-1056,1.0
503,32-1056,1.0
505,32-1056,1.0
505.11,32-1056,1.0
507,32-1056,1.0
507.8,32-1056,1.0
510,32-1056,1.0
513,32-1056,1.0
516,32-1056,1.0
519,32-1056,1.0
520,32-1056,1.0
522,32-1056,1.0
639.6,32-1057,2.0
637.5,32-1191,2.0
460,33-1100,2.0
190,33-1120,0.1
192,33-1120,0.1
193,33-1120,0.1
200,33-1120,0.1
201,33-1120,0.1
202,33-1120,0.1
203,33-1120,0.1
204,33-1120,0.1
205,33-1120,0.1
206,33-1120,0.1
207,33-1120,0.1
207.2,33-1120,4.0
207.3,33-1120,4.0
906,33-1120,6.0
1000,33-1120,0.1
1001,33-1120,0.1
1002,33-1120,0.1
1003,33-1120,0.1
1004,33-1120,0.1
1005,33-1120,0.1
210.4,33-1140,1.0
220.1,33-1140,1.0
220.3,33-1140,1.0
223,33-1140,1.0
223.6,33-1140,1.0
241,33-1140,1.0
340,33-1140,1.0
340.1,33-1140,1.0
340.6,33-1140,1.0
350,33-1140,1.0
350.6,33-1140,1.0
360.2,33-1140,1.0
370.2,33-1140,1.0
370.21,33-1140,1.0
370.8,33-1140,1.0
370.9,33-1140,1.0
371.1,33-1140,1.0
371.3,33-1140,1.0
402.4,33-1141,1.0
410.4,33-1141,1.0
498,33-1160,1.0
498.1,33-1160,1.0
499,33-1160,2.0
499.2,33-1160,3.0
499.3,33-1160,2.0
499.4,33-1160,1.5
500,33-1160,0.3
500.1,33-1160,0.6
500.2,33-1160,0.6
501,33-1160,0.1
501.1,33-1160,0.2
501.2,33-1160,0.2
501.3,33-1160,0.1
502,33-1160,0.236
502.1,33-1160,0.236
503,33-1160,0.1
503.1,33-1160,0.19
503.2,33-1160,0.236
503.4,33-1160,0.1
504,33-1160,0.12
504.1,33-1160,0.12
505,33-1160,0.042
505.1,33-1160,0.084
505.11,33-1160,0.03
505.2,33-1160,0.084
505.3,33-1160,0.084
505.4,33-1160,0.084
505.5,33-1160,0.084
505.6,33-1160,0.084
505.8,33-1160,0.084
506,33-1160,0.048
506.1,33-1160,0.048
506.2,33-1160,0.048
507,33-1160,0.02
507.1,33-1160,0.038
507.2,33-1160,0.038
507.3,33-1160,0.038
507.4,33-1160,0.038
507.6,33-1160,0.038
507.7,33-1160,0.038
507.8,33-1160,0.02
508,33-1160,0.038
508.1,33-1160,0.038
509,33-1160,0.038
509.1,33-1160,0.038
509.2,33-1160,0.038
509.3,33-1160,0.038
510,33-1160,0.008
510.1,33-1160,0.014
510.2,33-1160,0.014
510.3,33-1160,0.014
510.4,33-1160,0.014
510.5,33-1160,0.014
511,33-1160,0.014
511.1,33-1160,0.014
511.2,33-1160,0.014
512,33-1160,0.014
512.1,33-1160,0.014
512.3,33-1160,0.014
513,33-1160,0.0044
513.1,33-1160,0.0044
513.2,33-1160,0.0044
513.3,33-1160,0.0044
513.4,33-1160,0.0044
513.5,33-1160,0.0044
514,33-1160,0.0044
514.1,33-1160,0.0044
514.2,33-1160,0.0044
515,33-1160,0.0044
515.1,33-1160,0.004
516,33-1160,0.0008
517,33-1160,0.0008
518,33-1160,0.0008
519,33-1160,0.008
520,33-1160,0.0022
521,33-1160,0.38
522,33-1160,0.0004
523,33-1160,0.0006
525,33-1160,0.014
526,33-1160,0.0044
527,33-1160,0.0008
527.5,33-1160,0.38
528,33-1160,0.014
529,33-1160,0.0044
542,33-1160,0.084
542.1,33-1160,0.084
542.2,33-1160,0.12
543,33-1160,0.19
544,33-1160,0.038
544.1,33-1160,0.038
568,33-1160,0.001
801,33-1160,0.014
802,33-1160,0.0044
803,33-1160,0.0008
804,33-1160,0.038
899,33-1160,0.038
900,33-1160,0.014
901,33-1160,0.0044
902,33-1160,0.0008
904,33-1160,0.3
507,33-1180,2.0
507.1,33-1180,2.0
507.3,33-1180,1.0
507.4,33-1180,1.0
507.5,33-1180,2.0
507.6,33-1180,2.0
508,33-1180,2.0
508.1,33-1180,2.0
509.2,33-1180,2.0
510,33-1180,2.0
510.1,33-1180,2.0
510.3,33-1180,1.0
510.4,33-1180,1.0
510.5,33-1180,2.0
510.6,33-1180,1.0
511,33-1180,2.0
511.1,33-1180,2.0
511.2,33-1180,1.0
513.1,33-1180,2.0
513.2,33-1180,1.0
513.4,33-1180,1.0
513.5,33-1180,1.0
514,33-1180,2.0
514.1,33-1180,1.0
514.2,33-1180,2.0
542.1,33-1180,2.0
544.1,33-1180,2.0
801,33-1180,1.0
802,33-1180,1.0
804,33-1180,1.0
636.3,33-1181,0.1
513,33-1200,2.0
507.7,33-1210,2.0
550,33-1280,0.1
551,33-1280,0.1
552,33-1280,0.05
553,33-1280,0.05
554,33-1280,0.2
555,33-1280,0.2
556,33-1280,1.0
557,33-1280,0.1
558,33-1280,0.2
560,33-1286,0.2
562,33-1286,0.2
546,33-1289,0.2
546.1,33-1289,6.0
800.1,33-1289,0.05
800.2,33-1289,0.05
800.1,33-1296,0.25
800.2,33-1296,0.25
545.2,33-1302,0.25
402.3,33-13025,0.015
402.4,33-13025,0.015
402.5,33-13025,0.015
402.7,33-13025,0.015
537.2,33-13025,0.025
545,33-13025,0.05
545.1,33-13025,0.45
545.3,33-13025,0.125
545.4,33-13025,0.19
603,33-13025,1.0
621.1,33-13025,0.055
625.21,33-13025,0.055
637.5,33-13025,0.33
800.2,33-1303,0.023
799,33-13035,0.085
800,33-13035,0.067
800.1,33-13035,0.02
432,33-1304,1.0
545,33-1304,1.0
545.1,33-1304,4.0
545.2,33-1304,3.0
545.3,33-1304,1.5
545.4,33-1304,2.5
603,33-1304,100.0
621.1,33-1304,5.0
625.2,33-1304,5.0
625.21,33-1304,5.0
625.4,33-1304,5.0
800.1,33-1304,1.1
800.2,33-1304,1.1
639.2,33-1316,6.0
625.2,33-1333,0.055
625.4,33-1333,0.055
498,33-1340,35.0
498.1,33-1340,35.0
499,33-1340,60.0
499.2,33-1340,100.0
499.3,33-1340,60.0
499.4,33-1340,50.0
500,33-1340,40.0
500.1,33-1340,40.0
500.2,33-1340,40.0
501,33-1340,30.0
501.1,33-1340,30.0
501.2,33-1340,30.0
501.3,33-1340,30.0
502,33-1340,22.0
502.1,33-1340,22.0
503,33-1340,20.0
503.1,33-1340,20.0
